

RUN: run status: enemy: 5; fitness: -6.0867747269123065; player life: 0; enemy life: 100; time: 440

RUN: run status: enemy: 5; fitness: 56.65261079034399; player life: 0; enemy life: 30.0; time: 571

RUN: run status: enemy: 5; fitness: 11.521490357791432; player life: 0; enemy life: 80.0; time: 651

RUN: run status: enemy: 5; fitness: 86.52324619773174; player life: 22.00000000000024; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 5.43224472101789; player life: 33.40000000000027; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 87.78324619773174; player life: 34.60000000000027; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: -6.059123195581797; player life: 0; enemy life: 100; time: 428

RUN: run status: enemy: 5; fitness: 87.24324619773175; player life: 29.20000000000026; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 47.49272228761499; player life: 0; enemy life: 40.0; time: 670

RUN: run status: enemy: 5; fitness: 87.15650369121832; player life: 27.400000000000254; enemy life: 0; time: 266

RUN: run status: enemy: 5; fitness: 11.107358358827911; player life: 0; enemy life: 80.0; time: 985

RUN: run status: enemy: 5; fitness: 87.06324619773174; player life: 27.400000000000254; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 88.76901301948917; player life: 43.60000000000029; enemy life: 0; time: 268

RUN: run status: enemy: 5; fitness: 86.38658072115354; player life: 26.800000000000253; enemy life: 0; time: 541

RUN: run status: enemy: 5; fitness: 86.58324619773174; player life: 22.600000000000243; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 11.492244721017869; player life: 94.00000000000006; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 89.2193183689845; player life: 47.8000000000003; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 89.5193183689845; player life: 50.80000000000031; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 87.30324619773175; player life: 29.80000000000026; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 88.51356122494231; player life: 43.60000000000029; enemy life: 0; time: 346

RUN: run status: enemy: 5; fitness: 88.7993183689845; player life: 43.60000000000029; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 89.47092391510482; player life: 50.20000000000031; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 11.143538015405413; player life: 0; enemy life: 80.0; time: 950

RUN: run status: enemy: 5; fitness: 88.99092391510482; player life: 45.4000000000003; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 86.52324619773174; player life: 22.00000000000024; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 11.157316717761578; player life: 0; enemy life: 80.0; time: 937

RUN: run status: enemy: 5; fitness: 84.75178089723765; player life: 13.00000000000023; enemy life: 0; time: 698

RUN: run status: enemy: 5; fitness: 38.744249958246634; player life: 0; enemy life: 50.0; time: 521

RUN: run status: enemy: 5; fitness: 87.30324619773175; player life: 29.80000000000026; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 90.0852886203982; player life: 56.800000000000324; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 87.02528862039819; player life: 26.20000000000025; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 86.39302464366021; player life: 20.80000000000024; enemy life: 0; time: 295

RUN: run status: enemy: 5; fitness: 86.58324619773174; player life: 22.600000000000243; enemy life: 0; time: 292

