

RUN: run status: enemy: 5; fitness: 19.772244721017877; player life: 86.80000000000013; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: -6.535241271013659; player life: 0; enemy life: 100; time: 689

RUN: run status: enemy: 5; fitness: 83.55894237406383; player life: 3.4000000000002344; enemy life: 0; time: 881

RUN: run status: enemy: 5; fitness: 87.61419793370403; player life: 32.200000000000266; enemy life: 0; time: 272

RUN: run status: enemy: 5; fitness: 88.33052820481507; player life: 39.40000000000028; enemy life: 0; time: 273

RUN: run status: enemy: 5; fitness: 29.80355587220548; player life: 0; enemy life: 60.0; time: 491

RUN: run status: enemy: 5; fitness: 38.684641998477666; player life: 0; enemy life: 50.0; time: 553

RUN: run status: enemy: 5; fitness: 20.1998299316978; player life: 0; enemy life: 70.0; time: 898

RUN: run status: enemy: 5; fitness: 87.32901301948917; player life: 29.20000000000026; enemy life: 0; time: 268

RUN: run status: enemy: 5; fitness: 87.36687189361196; player life: 29.80000000000026; enemy life: 0; time: 274

RUN: run status: enemy: 5; fitness: 88.76901301948917; player life: 43.60000000000029; enemy life: 0; time: 268

RUN: run status: enemy: 5; fitness: -5.849324779946859; player life: 0; enemy life: 100; time: 347

RUN: run status: enemy: 5; fitness: -2.307755278982107; player life: 46.0000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 86.83463815194546; player life: 27.400000000000254; enemy life: 0; time: 367

RUN: run status: enemy: 5; fitness: 87.54324619773175; player life: 32.200000000000266; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: -2.847755278982108; player life: 40.600000000000286; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 84.4879162574934; player life: 11.80000000000023; enemy life: 0; time: 806

RUN: run status: enemy: 5; fitness: 74.78339389891514; player life: 0; enemy life: 10.0; time: 501

RUN: run status: enemy: 5; fitness: 85.13244998517523; player life: 17.20000000000023; enemy life: 0; time: 726

RUN: run status: enemy: 5; fitness: -2.847755278982108; player life: 40.600000000000286; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 87.54324619773175; player life: 32.200000000000266; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 87.31052820481507; player life: 29.20000000000026; enemy life: 0; time: 273

RUN: run status: enemy: 5; fitness: 87.00324619773174; player life: 26.800000000000253; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 88.65455310235679; player life: 43.00000000000029; enemy life: 0; time: 283

RUN: run status: enemy: 5; fitness: 87.42324619773174; player life: 31.000000000000263; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 86.2130246436602; player life: 19.000000000000234; enemy life: 0; time: 295

RUN: run status: enemy: 5; fitness: 93.00482618476619; player life: 80.80000000000018; enemy life: 0; time: 160

RUN: run status: enemy: 5; fitness: -3.8077552789821105; player life: 31.000000000000263; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 90.3852886203982; player life: 59.80000000000033; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 89.97057091248861; player life: 55.00000000000032; enemy life: 0; time: 252

RUN: run status: enemy: 5; fitness: 92.69237888630938; player life: 83.20000000000016; enemy life: 0; time: 278

RUN: run status: enemy: 5; fitness: 93.09425332628682; player life: 83.20000000000016; enemy life: 0; time: 186

RUN: run status: enemy: 5; fitness: 92.92670840550224; player life: 80.80000000000018; enemy life: 0; time: 173

RUN: run status: enemy: 5; fitness: 86.94324619773174; player life: 26.20000000000025; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 86.87974528872262; player life: 29.20000000000026; enemy life: 0; time: 420

RUN: run status: enemy: 5; fitness: 29.44038476250676; player life: 0; enemy life: 60.0; time: 706

RUN: run status: enemy: 5; fitness: 90.2652886203982; player life: 58.60000000000033; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 88.58901301948917; player life: 41.80000000000029; enemy life: 0; time: 268

RUN: run status: enemy: 5; fitness: 47.469122372274114; player life: 0; enemy life: 40.0; time: 686

RUN: run status: enemy: 5; fitness: 11.344559649632352; player life: 0; enemy life: 80.0; time: 777

RUN: run status: enemy: 5; fitness: 87.77699681219055; player life: 35.20000000000027; enemy life: 0; time: 312

RUN: run status: enemy: 5; fitness: 38.30667633173005; player life: 0; enemy life: 50.0; time: 807

RUN: run status: enemy: 5; fitness: 88.47667761151175; player life: 43.60000000000029; enemy life: 0; time: 359

RUN: run status: enemy: 5; fitness: 7.052244721017894; player life: 49.60000000000031; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: -6.144185634125646; player life: 0; enemy life: 100; time: 466

RUN: run status: enemy: 5; fitness: 90.84206684551657; player life: 67.00000000000031; enemy life: 0; time: 350

RUN: run status: enemy: 5; fitness: -6.169610732491456; player life: 0; enemy life: 100; time: 478

RUN: run status: enemy: 5; fitness: 88.36885900702333; player life: 41.80000000000029; enemy life: 0; time: 334

RUN: run status: enemy: 5; fitness: -6.061456918928017; player life: 0; enemy life: 100; time: 429

RUN: run status: enemy: 5; fitness: 88.76901301948917; player life: 43.60000000000029; enemy life: 0; time: 268

RUN: run status: enemy: 5; fitness: 87.30687189361196; player life: 29.20000000000026; enemy life: 0; time: 274

RUN: run status: enemy: 5; fitness: -2.0077552789821063; player life: 49.000000000000306; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 29.832483509111658; player life: 0; enemy life: 60.0; time: 477

RUN: run status: enemy: 5; fitness: -4.107755278982111; player life: 28.000000000000256; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 90.15809292906192; player life: 58.00000000000033; enemy life: 0; time: 282

RUN: run status: enemy: 5; fitness: 87.35041085661014; player life: 32.80000000000027; enemy life: 0; time: 376

RUN: run status: enemy: 5; fitness: 39.10835578817423; player life: 0; enemy life: 50.0; time: 362

RUN: run status: enemy: 5; fitness: 87.262357756651; player life: 33.40000000000027; enemy life: 0; time: 436

RUN: run status: enemy: 5; fitness: 86.41067522005316; player life: 22.600000000000243; enemy life: 0; time: 347

RUN: run status: enemy: 5; fitness: 74.62838815276814; player life: 0; enemy life: 10.0; time: 585

RUN: run status: enemy: 5; fitness: -6.147755278982114; player life: 7.600000000000232; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 91.36410787451699; player life: 74.80000000000024; enemy life: 0; time: 453

RUN: run status: enemy: 5; fitness: 87.65960416103984; player life: 39.40000000000028; enemy life: 0; time: 534

RUN: run status: enemy: 5; fitness: -3.74775527898211; player life: 31.600000000000264; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 86.88324619773175; player life: 25.60000000000025; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 29.67224472101789; player life: 5.800000000000233; enemy life: 60.0; time: 1000

RUN: run status: enemy: 5; fitness: 93.09425332628682; player life: 83.20000000000016; enemy life: 0; time: 186

RUN: run status: enemy: 5; fitness: 88.3193183689845; player life: 38.80000000000028; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 1.0522447210178827; player life: 79.6000000000002; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 88.5593183689845; player life: 41.20000000000029; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 91.44726730529592; player life: 76.00000000000023; enemy life: 0; time: 470

RUN: run status: enemy: 5; fitness: 90.2052886203982; player life: 58.00000000000033; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 89.9052886203982; player life: 55.00000000000032; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 10.712244721017875; player life: 86.20000000000013; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 90.3252886203982; player life: 59.20000000000033; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 84.164107874517; player life: 2.8000000000002343; enemy life: 0; time: 453

RUN: run status: enemy: 5; fitness: 88.45788117912033; player life: 40.600000000000286; enemy life: 0; time: 271

